,Latitude,Longitude,Measurement,Year,DensityClass
16448,12.663611,101.038333,800000.0,2019,Very High
16447,12.663889,101.040278,400000.0,2019,Very High
16446,11.893611,102.7875,352000.0,2019,Very High
16445,11.898889,102.783056,200000.0,2019,Very High
16444,28.152519,-16.43179,110480.0,2019,Very High
16443,28.152519,-16.43179,103120.0,2019,Very High
16442,12.555,101.916944,99920.0,2019,Very High
16441,12.632222,101.489722,89120.0,2019,Very High
16440,28.152519,-16.43179,85600.0,2019,Very High
16439,12.631111,101.450833,83040.0,2019,Very High
16438,12.553611,101.929167,80000.0,2019,Very High
16437,12.169444,102.406389,80000.0,2019,Very High
16436,25.20997,121.65875,74000.0,2017,Very High
16435,12.478889,102.065833,72480.0,2019,Very High
16433,25.22152,121.64982,71200.0,2017,Very High
16434,25.22152,121.64982,71200.0,2017,Very High
16432,12.617778,101.425556,69040.0,2019,Very High
16431,12.674722,101.066944,68480.0,2019,Very High
16430,28.152519,-16.43179,60160.0,2019,Very High
16429,28.152519,-16.43179,57680.0,2019,Very High
16428,14.74835,120.91051,57665.0,2019,Very High
16427,28.152519,-16.43179,55840.0,2019,Very High
16426,12.643333,101.635556,53280.0,2019,Very High
16425,25.22152,121.64982,53200.0,2017,Very High
16424,28.152519,-16.43179,50480.0,2019,Very High
16423,28.152519,-16.43179,49360.0,2019,Very High
16422,28.152519,-16.43179,46240.0,2019,Very High
16421,28.152519,-16.43179,44880.0,2019,Very High
16420,28.152519,-16.43179,43440.0,2019,Very High
16419,28.152519,-16.43179,43360.0,2019,Very High
16418,25.165,121.7071,42560.0,2015,Very High
16417,28.152519,-16.43179,42400.0,2019,Very High
16416,41.80855,-71.389458,40510.0,2021,Very High
16415,12.665,101.0425,40000.0,2019,Very High
16369,14.64984,120.94866,11475.0,2019,Very High
16362,21.842075,108.560309,10133.33333,2017,Very High
16355,21.749474,108.567197,9533.333333,2017,Very High
16352,21.822173,108.551661,8800.0,2017,Very High
16341,-1.2036,-44.44505,7650.333333,2018,Very High
16338,27.729,-82.4987,7000.0,2017,Very High
16327,27.8261,-82.5675,6000.0,2016,Very High
16326,0.110639,-47.788289,5978.666667,2018,Very High
16317,2.413072,-48.616536,5388.666667,2018,Very High
16315,14.50232,120.98931,5015.0,2019,Very High
16314,27.9528,-82.6416,5000.0,2017,Very High
16313,27.9899,-82.6316,5000.0,2017,Very High
16312,27.6279,-82.6415,5000.0,2016,Very High
16303,41.80855,-71.389458,4550.0,2021,Very High
16302,21.721966,108.564493,4533.333333,2017,Very High
16301,21.889877,108.596921,4533.333333,2017,Very High
16300,41.8074,-71.39515,4433.7,2021,Very High
16298,0.580672,-46.881111,4326.666667,2018,Very High
16273,27.7084,-82.6092,4000.0,2016,Very High
16276,27.9185,-82.5379,4000.0,2016,Very High
16274,27.9528,-82.6416,4000.0,2016,Very High
16275,28.0261,-82.5812,4000.0,2016,Very High
16282,27.9237,-82.4807,4000.0,2017,Very High
16277,27.6934,-82.5559,4000.0,2017,Very High
16279,27.9687,-82.5621,4000.0,2017,Very High
16281,27.8261,-82.5675,4000.0,2017,Very High
16271,-1.46915,-44.339369,3894.0,2018,Very High
16268,21.882088,108.467381,3733.333333,2017,Very High
16266,-0.938711,-44.553281,3658.0,2018,Very High
16223,14.59371,120.95707,3405.0,2018,Very High
16222,21.816776,108.571005,3400.0,2017,Very High
16221,0.428869,-47.698039,3268.0,2018,Very High
16220,0.713878,-45.847083,3205.666667,2018,Very High
16217,2.657956,-48.732453,3186.0,2018,Very High
16215,21.730731,108.540965,3066.666667,2017,Very High
16211,27.778,-82.5203,3000.0,2017,Very High
16209,27.8096,-82.446,3000.0,2016,Very High
16210,27.6279,-82.6415,3000.0,2016,Very High
16212,27.9687,-82.5621,3000.0,2017,Very High
16204,21.907837,108.543255,2866.666667,2017,Very High
16203,21.740623,108.572797,2866.666667,2017,Very High
16202,41.787143,-71.380014,2862.18,2020,Very High
16167,0.580672,-46.881111,2755.0,2018,Very High
16166,41.787143,-71.380014,2744.79,2020,Very High
16165,41.75806,-71.3642,2714.2,2020,Very High
16164,0.483133,-47.407925,2714.0,2018,Very High
16163,2.907114,-48.846053,2694.333333,2018,Very High
16162,3.897814,-49.307497,2679.0,2018,Very High
16161,3.153125,-48.961831,2674.666667,2018,Very High
16160,21.743638,108.55886,2666.666667,2017,Very High
16157,0.340022,-44.880853,2635.333333,2018,Very High
16156,21.824029,108.514057,2600.0,2017,Very High
16155,21.790856,108.530697,2600.0,2017,Very High
16154,3.897814,-49.307497,2596.0,2018,Very High
16153,1.420494,-48.156708,2565.0,2018,Very High
16151,0.483133,-47.407925,2546.0,2018,Very High
16150,1.918331,-48.386794,2497.666667,2018,Very High
16148,21.856414,108.549306,2466.666667,2017,Very High
16147,41.787143,-71.380014,2447.16,2020,Very High
16140,21.711709,108.580565,2400.0,2017,Very High
16144,21.838293,108.533975,2400.0,2017,Very High
16137,21.783517,108.546597,2266.666667,2017,Very High
16135,21.982733,113.650735,2233.0,2018,Very High
16134,-0.665939,-48.105125,2202.666667,2018,Very High
16133,21.814926,108.533073,2200.0,2017,Very High
16132,38.5197,-8.89348,2170.0,2018,Very High